chr1	4903026
chr2	2351887
chr3	1979814
chr4	2936738
chr5	3206831
chr6	2317049
chr7	3786038
chr8	1866785
chr9	2364038
chr10	1969318
chr11	3760205
chr12	2457130
chr13	1900241
chr14	2358862
chr15	1711572
chr16	2067868
chr17	4283188
chr18	4810216
chr19	5074048
chr20	3447543
chr21	565411
chr22	3572384
chrX	3069501
chr1	4739722
chr2	2164056
chr3	1732622
chr4	1991740
chr5	2860930
chr6	1952227
chr7	2577863
chr8	1694273
chr9	2824721
chr10	2722456
chr11	3072368
chr12	3024409
chr13	1662330
chr14	1323302
chr15	1850571
chr16	1651247
chr17	3370558
chr18	2963495
chr19	3316310
chr20	3580847
chr21	2121403
chr22	2844877
chrX	2043815
chr1	4458207
chr2	2305302
chr3	2417887
chr4	1796871
chr5	3175397
chr6	3379604
chr7	4143915
chr8	1976420
chr9	2165476
chr10	1979567
chr11	3487012
chr12	2646684
chr13	1972443
chr14	1440030
chr15	3269642
chr16	1743812
chr17	4546904
chr18	2944344
chr19	4394313
chr20	4037807
chr21	2202945
chr22	3089504
chrX	3256541
chr1	4055221
chr2	2080042
chr3	2491457
chr4	1965419
chr5	3061127
chr6	1677937
chr7	3671846
chr8	1571430
chr9	1887952
chr10	2272365
chr11	2964717
chr12	2082836
chr13	2610037
chr14	1126927
chr15	1804934
chr16	1441327
chr17	3400844
chr18	2635811
chr19	4569505
chr20	4393530
chr21	1147548
chr22	2812598
chrX	2929416
chr1	3903744
chr2	1712235
chr3	2844507
chr4	1555009
chr5	3285514
chr6	1581300
chr7	3710121
chr8	1678888
chr9	2556177
chr10	1957361
chr11	4218333
chr12	2887709
chr13	1035566
chr14	1171129
chr15	1181210
chr16	1633881
chr17	3365390
chr18	2779239
chr19	4468538
chr20	2825139
chr21	1140695
chr22	2939289
chrX	3186071
chr1	3810109
chr2	1461016
chr3	2134868
chr4	2123094
chr5	3234395
chr6	2254828
chr7	3917852
chr8	1692174
chr9	1811029
chr10	1432763
chr11	2204286
chr12	1997154
chr13	20056
chr14	1133673
chr15	1698796
chr16	2029337
chr17	3344042
chr18	3704158
chr19	3296920
chr20	2391903
chr21	2727884
chr22	2945716
chrX	2047676
chr1	5529795
chr2	2094637
chr3	2947271
chr4	2394146
chr5	3262344
chr6	2128344
chr7	4122777
chr8	3249401
chr9	2553925
chr10	1692486
chr11	2634870
chr12	2408254
chr13	1003063
chr14	1376383
chr15	1815244
chr16	1948300
chr17	3796647
chr18	4441265
chr19	4546681
chr20	3395701
chr21	1112470
chr22	3971933
chrX	3275253
chr1	5175551
chr2	2141743
chr3	2962261
chr4	1582078
chr5	2969531
chr6	1706680
chr7	2537183
chr8	2273961
chr9	2571979
chr10	1490454
chr11	5093061
chr12	2255305
chr13	1472826
chr14	2151345
chr15	1357526
chr16	1779011
chr17	3736311
chr18	4159444
chr19	3592934
chr20	3740255
chr21	1326793
chr22	3461787
chrX	3615900
chr1	4730989
chr2	1585011
chr3	1945326
chr4	1373320
chr5	2461225
chr6	1389974
chr7	2642484
chr8	1579711
chr9	1775193
chr10	1850129
chr11	2232259
chr12	1993367
chr13	1185844
chr14	1592574
chr15	1516353
chr16	1377544
chr17	3416746
chr18	3424569
chr19	3918858
chr20	2896377
chr21	1143608
chr22	3156835
chrX	2445756
chr1	4725712
chr2	1729288
chr3	1937320
chr4	1776706
chr5	4005097
chr6	1871182
chr7	3373171
chr8	1990270
chr9	2830229
chr10	2303020
chr11	3978169
chr12	2508206
chr13	1170579
chr14	1442032
chr15	2158170
chr16	1960231
chr17	3525178
chr18	3531843
chr19	7276643
chr20	3537434
chr21	2348048
chr22	2821663
chrX	2616495
chr1	4797597
chr2	1843039
chr3	2631308
